EmployeeID,FirstName,LastName,FullName,DateOfJoining,DateOfBirth,Age,WorkLocation,DateOfLeaving,Salary,ManagerID,Department,ReasonForLeaving,Gender,JobRole,PerformanceRating
E000043,Lisa,Kim,Lisa Kim,27/06/2022,10/9/2000,24,South Anthony,30/04/2023,109501,M0061,Operations,Retired,Female,Engineer,4
E000044,Diana,Underwood,Diana Underwood,19/08/2023,11/12/1977,47,Cherylstad,8/4/2024,133079,M0037,Operations,Retired,Other,Consultant,2
E000045,Anne,Miller,Anne Miller,12/2/2022,22/02/1970,54,Amyshire,29/06/2022,172247,M0029,Engineering,Retired,Other,Analyst,5
E000046,Alexandra,Baxter,Alexandra Baxter,18/07/2023,25/05/1999,25,Chasemouth,8/3/2024,191000,M0011,IT,Retired,Male,Manager,5
E000047,Elizabeth,Carr,Elizabeth Carr,14/08/2021,10/6/1968,56,New Daniellefort,17/08/2023,135310,M0103,OPERATIONS,Health Issues,Male,Consultant,2
E000048,Sandra,Parker,Sandra Parker,18/06/2023,21/05/1973,51,Millerfort,30/04/2024,198899,M0086,HR,Better Opportunity,Other,Engineer,5
E000049,Daniel,Smith,Daniel Smith,19/08/2021,2/12/1991,33,Holtport,1/9/2021,167489,M0019,Engineering,Retired,Female,Consultant,3
E004715,Alexandria,Floyd,Alexandria Floyd,9/4/2024,7/9/1995,29,South Jeffrey,12/7/2024,73370,M0097,IT,Terminated,Other,Consultant,2
E000051,Shawn,Brooks,Shawn Brooks,23/04/2022,24/09/1992,32,Pattonshire,15/12/2024,176718,M0050,IT,Resigned,Female,Consultant,5
E000052,Lucas,Miranda,Lucas Miranda,3/12/2023,21/12/1995,,Lake Lauren,9/7/2025,41905,M0101,marketing,Resigned,Male,Engineer,1
E000053,Melissa,Collier,Melissa Collier,22/08/2024,20/04/1989,35,Drewton,25/10/2025,189261,M0060,Finance,Retired,Male,Manager,2
E000054,Casey,Romero,Casey Romero,24/06/2022,21/02/1997,,Macdonaldmouth,7/2/2024,113995,M0037,HR,Better Opportunity,Male,Executive,1
E000055,Anna,Ford,Anna Ford,27/08/2021,4/3/1976,48,Johnton,3/2/2024,168756,M0015,Engineering,Better Opportunity,Female,Consultant,1
E000056,Jon,Newton,Jon Newton,12/10/2021,4/12/1970,54,Valdeztown,16/07/2023,193126,M0083,HR,Relocation,Other,Consultant,5
E000057,Kristen,Roberson,Kristen Roberson,29/03/2022,29/10/1989,35,North Samuel,27/05/2025,192218,M0116,Marketing,Retired,Other,Analyst,3
E000058,Jacob,Henry,Jacob Henry,2/9/2024,20/08/1992,,Sierrafurt,29/11/2024,175063,M0035,Sales,Terminated,Female,Consultant,3
E000059,Linda,Jennings,Linda Jennings,25/05/2023,25/05/1993,,West Shawn,6/1/2025,39385,M0115,Marketing,Health Issues,Male,Executive,1
E000060,Kayla,Mitchell,Kayla Mitchell,19/09/2022,10/7/1980,44,Garcialand,12/11/2025,148268,M0104,marketing,Health Issues,Male,Analyst,3
E000061,Ashley,Patterson,Ashley Patterson,8/1/2023,17/01/1990,34,Patrickton,21/02/2024,108712,M0115,,Terminated,Female,Executive,2
E000062,Joel,Rubio,Joel Rubio,25/08/2022,17/02/1997,27,Mcgeeton,20/10/2022,81987,M0065,Finance,Terminated,Other,Consultant,5
E000063,Lisa,Davis,Lisa Davis,11/6/2022,28/04/1996,28,North Raymond,7/11/2024,124101,,Operations,Retired,Other,Consultant,2
E000064,Brandon,Hall,Brandon Hall,14/09/2023,20/07/1985,39,Lake Curtisport,18/07/2024,40733,M0048,Marketing,Better Opportunity,Female,Consultant,1
E000065,Valerie,Juarez,Valerie Juarez,24/01/2021,6/2/1971,53,Amyburgh,31/01/2021,30863,M0087,Marketing,Health Issues,Female,Consultant,4
E000066,Greg,Hudson,Greg Hudson,18/08/2021,6/2/1999,25,South Lisaburgh,18/05/2023,30964,M0120,IT,Retired,Other,Consultant,2
E000067,Robert,Anderson,Robert Anderson,13/09/2023,24/10/1983,41,North Aliciafurt,6/8/2024,,M0060,OPERATIONS,Terminated,Female,Consultant,4
E000068,Catherine,Bishop,Catherine Bishop,28/11/2022,7/10/1993,31,West Cody,26/07/2023,94601,M0088,Operations,Terminated,Other,Consultant,5
E000069,Patrick,Willis,Patrick Willis,13/09/2022,9/1/1994,31,South Samuel,4/3/2023,156539,M0046,Operations,Health Issues,Other,Analyst,4
E000070,Michael,Allen,Michael Allen,18/02/2022,15/09/2003,21,Harperhaven,21/12/2024,155509,M0016,HR,Health Issues,Other,Engineer,1
E000071,Veronica,Bryant,Veronica Bryant,17/08/2021,28/03/1979,45,Lake Tyler,10/3/2023,37712,M0056,OPERATIONS,Resigned,Other,Executive,1
E000072,Bradley,Simon,Bradley Simon,5/10/2024,7/2/1967,57,Jessicaside,31/12/2024,130241,M0023,Marketing,Relocation,Female,Analyst,4
E000073,Jean,Martinez,Jean Martinez,18/11/2021,13/12/1994,,Drakeshire,20/03/2024,45754,M0032,IT,Health Issues,Male,Consultant,4
E000074,Kimberly,Davis,Kimberly Davis,2/9/2024,18/03/1985,,Owensstad,21/12/2024,108289,M0025,Operations,Resigned,Other,Executive,4
E000075,Donna,Jordan,Donna Jordan,22/05/2023,8/12/1980,44,Markport,29/04/2025,195409,M0093,Sales,Relocation,Male,Engineer,1
E000076,Kristy,Blanchard,Kristy Blanchard,16/03/2023,6/9/1989,35,Bryanport,2/11/2025,186911,M0007,,Terminated,Female,Analyst,5
E000077,Kim,Greene,Kim Greene,29/09/2022,1/8/1992,32,Garzaville,31/01/2024,146445,M0054,Sales,Better Opportunity,Female,Manager,3
E000078,Natalie,Price,Natalie Price,1/9/2023,21/11/1965,59,South Ashleymouth,14/08/2024,126621,M0007,Marketing,Better Opportunity,Other,Analyst,1
E000079,Thomas,Bradley,Thomas Bradley,7/2/2023,21/12/1966,58,Theresafurt,3/1/2024,83135,M0022,Marketing,Better Opportunity,Female,Executive,3
E000080,Wendy,Young,Wendy Young,26/10/2023,23/12/1989,35,West Tyler,5/8/2024,142086,M0095,Sales,Better Opportunity,Male,Engineer,1
E000081,Roberto,Conley,Roberto Conley,7/1/2022,3/10/1976,,Lake Kelly,21/07/2022,64682,M0107,,Terminated,Male,Analyst,4
E000082,Mary,Oneill,Mary Oneill,15/05/2022,27/04/1986,38,North Marioburgh,19/05/2025,43244,M0006,IT,Health Issues,Female,Manager,3
E000083,Madison,Vargas,Madison Vargas,26/08/2021,7/10/1984,40,Shermanshire,13/09/2022,181738,M0070,Finance,Terminated,Female,Engineer,2
E000084,Peggy,Stark,Peggy Stark,8/11/2024,23/06/1987,37,Lake Jennifer,18/03/2025,169310,M0003,HR,Terminated,Female,Consultant,2
E000085,Sally,Yates,Sally Yates,4/2/2023,12/10/1995,29,Port Cassandraburgh,9/9/2025,58490,M0004,Sales,Health Issues,Female,Manager,4
E000086,Matthew,Ferguson,Matthew Ferguson,23/03/2021,18/01/1975,49,South Carlos,7/6/2022,198731,M0030,Finance,Resigned,Other,Executive,4
E000087,Kelly,Jones,Kelly Jones,23/09/2022,16/05/1983,41,Colonport,22/08/2025,102541,M0046,Marketing,Better Opportunity,Female,Engineer,3
E000088,Monica,Ellis,Monica Ellis,9/8/2023,7/7/1972,52,Williamston,27/09/2023,150221,M0051,Marketing,Terminated,Female,Engineer,4
E000089,Jody,Meadows,Jody Meadows,4/11/2023,21/09/1995,29,New Susan,5/2/2024,185841,M0063,Finance,Better Opportunity,Female,Manager,5
E000090,Kevin,Santos,Kevin Santos,16/03/2023,7/2/2004,20,South Holly,1/7/2024,166908,M0023,Operations,Terminated,Other,Manager,5
E000091,Briana,Jones,Briana Jones,10/7/2023,24/08/1969,55,North Elizabethchester,6/5/2025,45000,M0026,Engineering,Relocation,Female,Manager,3
E000092,Colleen,Stevens,Colleen Stevens,15/03/2022,24/08/1976,48,Lake Thomas,11/9/2024,124444,M0068,Finance,Relocation,Other,Analyst,2
E000093,Lisa,Moore,Lisa Moore,30/09/2022,28/09/2000,24,Amandaport,25/10/2025,107557,M0034,Finance,Terminated,Female,Consultant,4
E000094,Jennifer,Meyer,Jennifer Meyer,15/12/2023,18/06/1989,,Gailport,12/12/2024,42272,M0118,Marketing,Resigned,Female,Manager,2
E000095,Andrew,Guzman,Andrew Guzman,30/10/2022,1/11/1979,45,Jeremyburgh,14/12/2024,131000,M0051,Sales,Resigned,Other,Manager,5
E000096,Michael,Mccullough,Michael Mccullough,28/06/2024,17/08/1966,58,Lawrencebury,18/05/2025,66319,M0110,,Retired,Other,Analyst,3
E000097,Victoria,Sparks,Victoria Sparks,13/05/2024,20/10/1985,39,Coxchester,23/09/2025,158335,M0048,Marketing,Terminated,Other,Engineer,2
E000098,Andrew,Hobbs,Andrew Hobbs,7/10/2024,26/11/1984,40,Martinezshire,23/01/2025,,M0093,IT,Relocation,Male,Engineer,5
E000099,Brian,Clark,Brian Clark,11/5/2023,3/5/1990,34,Elizabethville,24/08/2024,165179,,Sales,Relocation,Other,Executive,3
E000100,Angel,Washington,Angel Washington,15/04/2021,19/06/1978,46,East Steveburgh,15/03/2024,196618,M0105,HR,Retired,Other,Analyst,4
E000101,Jack,Martin,Jack Martin,6/10/2024,2/7/1981,43,Christophertown,12/6/2025,144143,M0065,,Retired,Male,Manager,5
E004107,Christina,Miller,Christina Miller,7/11/2021,21/03/1976,48,Bishopside,16/12/2024,105779,M0038,Engineering,Better Opportunity,Female,Executive,2
E000103,Paul,Beasley,Paul Beasley,10/11/2021,8/1/1995,30,Johnsontown,11/12/2023,59740,M0028,IT,Better Opportunity,Male,Executive,1
E000104,Anna,Frank,Anna Frank,17/02/2023,28/02/1999,25,South Michaelfort,9/8/2024,184371,M0020,Operations,Relocation,Female,Executive,2
E000105,William,Mason,William Mason,12/9/2022,19/03/1969,55,Johnathanmouth,19/10/2024,97531,,HR,Resigned,Male,Engineer,2
E000106,Joseph,Adkins,Joseph Adkins,2/8/2024,21/07/1984,40,Thomasmouth,2/5/2025,,M0055,HR,Better Opportunity,Male,Executive,4
E000107,Nicole,Miles,Nicole Miles,10/6/2024,25/11/1969,55,South Tonya,7/5/2025,96287,M0058,Engineering,Relocation,Male,Consultant,5
E000108,Shannon,Freeman,Shannon Freeman,21/02/2022,25/08/1973,51,Lake Chadburgh,29/04/2023,109504,M0063,Sales,Better Opportunity,Female,Executive,4
E000109,John,Jones,John Jones,29/01/2022,25/12/1988,36,Kevinland,18/09/2025,53974,M0012,Operations,Better Opportunity,Male,Analyst,4
E000110,Dustin,Dean,Dustin Dean,18/03/2021,2/10/1977,47,South Kellyton,29/05/2021,82371,M0041,Marketing,Relocation,Female,Analyst,2
E000111,Jon,Petersen,Jon Petersen,16/02/2023,13/03/1974,50,Kellerhaven,21/09/2025,67768,M0062,FINANCE,Better Opportunity,Other,Engineer,1
E000112,Tina,Rosales,Tina Rosales,18/04/2024,1/8/1980,44,Lake Nicholasfort,19/11/2025,,M0052,Operations,Better Opportunity,Female,Analyst,5
E000113,Joseph,Joyce,Joseph Joyce,30/05/2023,6/6/2000,24,Gutierrezberg,19/12/2024,81086,M0113,HR,Health Issues,Female,Analyst,5
E000114,Mark,Joyce,Mark Joyce,8/9/2023,5/9/1977,47,East Jaredland,12/10/2023,131449,M0117,Marketing,Resigned,Female,Analyst,4
E000115,James,Russo,James Russo,8/3/2023,17/07/1975,49,West Jamesside,28/12/2024,73000,M0076,Sales,Terminated,Other,Consultant,3
E000116,Mark,Hayden,Mark Hayden,3/6/2022,10/8/1989,35,Griffinview,17/07/2025,47000,M0022,Engineering,Relocation,Female,Analyst,3
E000117,Robert,Lester,Robert Lester,9/7/2023,26/12/2000,24,West Whitneyberg,29/06/2024,165240,M0039,IT,Terminated,Female,Analyst,3
E000118,Alexandra,Johnson,Alexandra Johnson,23/09/2024,22/06/1987,37,Jimenezview,22/11/2024,67399,M0057,Engineering,Retired,Other,Executive,1
E001961,Justin,Snyder,Justin Snyder,1/6/2024,27/08/1981,43,Sarahmouth,21/03/2025,77061,M0100,IT,Resigned,Other,Manager,4
E000120,David,Zhang,David Zhang,15/03/2022,26/07/1989,35,Brettmouth,24/09/2025,38636,M0004,Sales,Relocation,Male,Manager,2
E000121,Melissa,Wilson,Melissa Wilson,5/5/2021,10/8/1972,52,Ericview,22/07/2022,31417,M0104,Sales,Resigned,Female,Consultant,1
E000122,April,Williams,April Williams,17/09/2021,16/08/1984,40,Melissaside,7/7/2022,44064,M0070,Marketing,Better Opportunity,Other,Analyst,4
E000123,David,Hernandez,David Hernandez,1/9/2021,19/07/1977,47,Lake Andrewmouth,14/12/2021,71576,M0007,HR,Health Issues,Other,Engineer,2
E000124,Paula,Foley,Paula Foley,7/9/2021,28/07/1965,,Port Angela,23/11/2023,134754,M0096,HR,Better Opportunity,Female,Engineer,1
E000125,Erin,Chavez,Erin Chavez,26/04/2023,9/5/1994,30,New Mark,9/10/2024,121845,M0015,Sales,Better Opportunity,Male,Consultant,1
E000126,Brandon,Thompson,Brandon Thompson,26/05/2022,17/04/1987,37,Adrienneside,18/07/2025,164000,M0096,Finance,Terminated,Female,Manager,1
E000127,Paul,Morris,Paul Morris,10/7/2022,6/12/1988,36,Port Jessicaville,5/1/2024,122970,M0088,Engineering,Relocation,Female,Engineer,2
E000128,Joshua,Leach,Joshua Leach,12/7/2024,16/09/1999,25,Jonathanport,29/01/2025,32587,M0091,HR,Terminated,Female,Manager,3
E000129,Jeremy,Wong,Jeremy Wong,10/6/2023,26/07/1990,34,Jacobstad,21/11/2023,62441,M0069,Finance,Health Issues,Male,Executive,4
E000130,William,Griffin,William Griffin,4/3/2021,30/06/2003,21,West Cindy,30/04/2023,35509,M0025,HR,Relocation,Male,Consultant,3
E000131,Andrea,Fry,Andrea Fry,16/05/2024,4/7/1973,51,Stewartshire,22/05/2025,99162,M0112,Finance,Retired,Male,Manager,5
E000132,Thomas,Reynolds,Thomas Reynolds,3/11/2022,2/3/1987,37,Margaretton,2/4/2024,90161,M0039,Finance,Better Opportunity,Other,Executive,2
E000133,Stacy,Weaver,Stacy Weaver,10/8/2021,8/9/1985,,Taylorview,16/06/2022,80490,M0033,IT,Relocation,Male,Analyst,2
E000134,Joshua,Palmer,Joshua Palmer,24/04/2023,20/07/1996,28,New Adamberg,21/06/2023,,M0012,Marketing,Health Issues,Other,Analyst,5
E000135,Kevin,Williams,Kevin Williams,9/9/2023,2/4/1980,44,Anthonybury,2/12/2023,161056,M0045,Sales,Terminated,Male,Analyst,4
E003965,Tiffany,Sherman,Tiffany Sherman,24/10/2024,15/06/1965,59,New Scott,12/11/2024,148199,M0015,IT,Relocation,Other,Manager,3
E000137,Angela,Wright,Angela Wright,7/6/2022,20/12/1966,58,Watkinsland,14/10/2025,190790,M0079,HR,Better Opportunity,Other,Analyst,4
E000138,Jessica,Mcknight,Jessica Mcknight,8/8/2021,11/3/1980,,Warnerfurt,13/08/2024,104478,M0005,Operations,Resigned,Other,Manager,4
E000139,Anthony,Anthony,Anthony Anthony,17/06/2023,23/10/1979,45,Lisamouth,15/07/2025,104695,M0081,HR,Better Opportunity,Female,Engineer,5
E000140,Brandon,Lee,Brandon Lee,12/5/2023,26/06/1965,59,Hillshire,1/10/2024,199250,M0013,Operations,Terminated,Female,Executive,1
E000141,Jacob,Fitzgerald,Jacob Fitzgerald,3/4/2024,9/1/1991,34,Lake Bryanville,10/11/2024,82349,M0011,HR,Better Opportunity,Other,Analyst,3
E000142,Justin,Collins,Justin Collins,3/10/2024,30/08/1986,38,South Scottland,2/7/2025,187574,M0023,Engineering,Terminated,Female,Executive,3
E000143,Marie,Adkins,Marie Adkins,16/10/2021,12/3/1983,41,Lake Jeffmouth,24/08/2022,103064,M0092,Operations,Terminated,Female,Consultant,5
E000144,Danielle,Adams,Danielle Adams,12/4/2024,18/05/1981,43,Armstrongmouth,22/08/2025,161638,M0091,,Resigned,Other,Engineer,1
E000145,Mindy,Smith,Mindy Smith,14/06/2024,27/11/1968,56,West Kristinstad,10/10/2025,115255,M0118,Engineering,Retired,Female,Manager,1
E000146,Monica,Clark,Monica Clark,13/05/2023,17/01/1979,45,Lake Johnville,3/9/2024,151637,M0034,Finance,Better Opportunity,Female,Manager,1
E000147,Melanie,Wood,Melanie Wood,31/07/2023,23/12/1983,41,Morrisonbury,18/04/2025,46951,M0081,Engineering,Relocation,Other,Executive,1
E000148,Veronica,Benton,Veronica Benton,10/6/2021,19/08/1979,45,Zhangton,16/01/2025,104558,M0061,Engineering,Terminated,Other,Consultant,2
E000149,Darlene,Campbell,Darlene Campbell,18/04/2024,22/02/2002,22,Lake Lee,24/02/2025,71022,M0057,Finance,Retired,Male,Analyst,1
E000150,Nathan,Alexander,Nathan Alexander,7/4/2023,11/11/1993,31,Port Melissafort,29/05/2023,120015,M0058,HR,Resigned,Male,Consultant,5
E000151,Guy,Harris,Guy Harris,23/12/2023,27/01/1969,55,Barrettburgh,2/11/2024,122115,M0042,Marketing,Relocation,Other,Executive,3
E000152,Michael,Reyes,Michael Reyes,7/4/2022,28/06/1971,53,North Scott,14/03/2023,88547,M0084,HR,Resigned,Female,Analyst,2
E000153,Melissa,Huynh,Melissa Huynh,22/08/2022,18/09/1998,26,East Ashleyhaven,27/02/2023,180481,,Engineering,Retired,Male,Analyst,1
E000154,Emily,Newton,Emily Newton,25/01/2022,21/10/1981,43,North Kiara,1/1/2025,48097,M0117,IT,Terminated,Other,Executive,2
E000155,Michael,Bishop,Michael Bishop,9/12/2023,10/11/1997,27,South Jamestown,24/03/2025,159915,M0089,HR,Terminated,Female,Analyst,5
E000156,Joe,Blevins,Joe Blevins,10/4/2023,25/09/1966,58,Fisherside,14/10/2025,,M0085,Operations,Terminated,Male,Analyst,2
E000157,Paul,Bell,Paul Bell,11/4/2021,25/03/1971,53,Eddieburgh,22/10/2023,194053,M0090,Engineering,Resigned,Male,Engineer,1
E000158,Terri,Young,Terri Young,13/02/2022,21/05/2002,22,Fischerchester,6/10/2025,59593,M0049,Marketing,Retired,Other,Engineer,5
E000159,Donna,Bowers,Donna Bowers,14/09/2024,28/08/1973,51,Frankborough,31/10/2025,,M0066,Marketing,Relocation,Male,Consultant,4
E000160,Ashley,Cervantes,Ashley Cervantes,3/2/2023,10/10/1985,39,South Shannon,12/8/2024,143506,M0096,Operations,Better Opportunity,Female,Manager,3
E000161,Linda,Clark,Linda Clark,19/12/2021,15/10/1968,56,Lake Joanna,7/5/2023,147844,M0081,Finance,Retired,Female,Executive,4
E000162,Timothy,Blair,Timothy Blair,23/04/2021,17/12/1991,33,North Kaitlinview,5/1/2022,157836,M0011,Operations,Better Opportunity,Female,Analyst,1
E000163,Melissa,Floyd,Melissa Floyd,15/02/2021,24/09/1983,41,Andersonshire,12/10/2025,88000,M0031,Operations,Terminated,Other,Engineer,1
E000164,Trevor,Johnson,Trevor Johnson,17/03/2022,13/04/1978,46,North Michelle,10/6/2022,192373,M0066,Sales,Resigned,Other,Consultant,4
E000165,Michael,Wilson,Michael Wilson,9/9/2024,23/06/1986,38,Chadstad,14/03/2025,184316,M0061,IT,Retired,Other,Executive,3
E004287,Angelica,Howe,Angelica Howe,31/07/2023,12/8/1989,35,West Jessica,28/05/2024,138465,M0044,HR,Relocation,Female,Engineer,1
E000167,Walter,Moore,Walter Moore,6/2/2023,13/04/1981,43,North Michael,14/08/2023,32122,M0075,IT,Retired,Other,Consultant,4
E000168,Jeffrey,Rogers,Jeffrey Rogers,29/08/2022,15/02/1998,26,Martinton,12/1/2024,109453,M0022,Engineering,Retired,Other,Engineer,3
E000169,Samuel,Goodman,Samuel Goodman,13/01/2024,11/12/1986,,Nathanton,2/11/2024,72566,M0005,Marketing,Resigned,Male,Consultant,3
E000170,Richard,Hawkins,Richard Hawkins,10/3/2024,9/9/1968,56,East Molly,6/1/2025,96105,M0025,Sales,Resigned,Female,Executive,2
E000171,Natasha,Jones,Natasha Jones,18/04/2021,23/02/1995,29,West Theresaland,29/10/2023,68792,M0011,Operations,Relocation,Male,Consultant,2
E000172,Jonathan,Parker,Jonathan Parker,18/05/2023,15/10/1979,45,West Sarah,6/3/2024,89376,M0004,IT,Terminated,Male,Executive,2
E000173,Kayla,Davis,Kayla Davis,28/08/2022,22/10/1989,35,Wilsonstad,16/01/2024,89000,M0001,IT,Relocation,Male,Manager,3
E000174,Victor,Heath,Victor Heath,7/5/2022,14/03/2002,22,Port Eileen,23/08/2025,67909,M0020,IT,Better Opportunity,Male,Analyst,3
E000175,Tiffany,Norris,Tiffany Norris,24/05/2023,29/05/1999,25,Lake Markberg,15/06/2025,171464,M0112,Operations,Relocation,Female,Executive,3
E000176,Christian,Becker,Christian Becker,26/07/2021,16/07/2003,21,Taylormouth,3/12/2024,73108,M0036,Engineering,Terminated,Other,Engineer,2
E000177,Craig,Summers,Craig Summers,8/7/2024,20/01/1967,57,Port Kevinbury,25/09/2025,158650,M0075,Operations,Health Issues,Other,Executive,5
E000178,John,Conner,John Conner,31/01/2022,4/3/1988,36,Combsburgh,28/05/2024,47891,M0100,IT,Resigned,Other,Manager,1
E000179,Ronnie,Rogers,Ronnie Rogers,24/03/2021,18/09/1965,59,Port Adrianstad,23/08/2022,134536,M0024,Engineering,Health Issues,Male,Engineer,1
